CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C10072,1699.44,1.00,1363.69,1363.69,0.00,0.00,0.33,0.33,0.00,0.00,0.00,4.00,1700.00,1623.82,923.51,0.00,12.00
C10073,5487.68,1.00,419.10,0.00,419.10,625.40,0.92,0.00,0.83,0.33,4.00,11.00,6250.00,1288.21,2180.88,0.00,12.00
C10074,2990.42,0.91,4523.27,1664.09,2859.18,27296.49,0.67,0.50,0.58,0.83,27.00,33.00,7000.00,28232.69,1107.03,0.45,12.00
C10075,656.01,1.00,0.00,0.00,0.00,1474.35,0.00,0.00,0.00,0.13,3.00,0.00,7000.00,910.46,140.98,0.25,8.00
C10077,1808.97,1.00,713.90,503.08,210.82,0.00,0.50,0.10,0.40,0.00,0.00,8.00,2250.00,889.02,622.76,0.00,10.00
C10078,532.33,0.91,791.94,516.64,275.30,0.00,0.27,0.09,0.18,0.00,0.00,7.00,6000.00,1305.18,175.51,0.00,11.00
C10079,5860.43,1.00,561.87,249.50,312.37,0.00,0.83,0.17,0.75,0.00,0.00,14.00,6000.00,1990.04,2161.43,0.00,12.00
C10080,1727.64,1.00,606.11,606.11,0.00,0.00,1.00,1.00,0.00,0.00,0.00,17.00,11000.00,2959.92,623.66,0.00,12.00
C10081,578.81,1.00,320.00,0.00,320.00,0.00,0.75,0.00,0.67,0.00,0.00,8.00,1500.00,1438.91,190.19,0.00,12.00
C10082,1205.72,1.00,0.00,0.00,0.00,38.33,0.00,0.00,0.00,0.08,1.00,0.00,1200.00,29.28,8242.69,0.00,12.00
C10083,6593.82,1.00,388.66,388.66,0.00,4621.93,0.58,0.58,0.00,0.42,7.00,7.00,7000.00,1624.58,2503.40,0.00,12.00
C10084,17.36,0.91,244.85,40.21,204.64,0.00,0.67,0.17,0.58,0.00,0.00,13.00,5000.00,357.80,121.52,0.18,12.00
C10085,81.58,0.27,0.00,0.00,0.00,2985.30,0.00,0.00,0.00,0.17,5.00,0.00,9500.00,116.57,164.69,0.00,12.00
C10086,3.79,0.64,133.05,28.20,104.85,0.00,0.42,0.17,0.25,0.00,0.00,5.00,12000.00,210.05,99.53,0.44,12.00
C10087,42.46,0.55,396.00,0.00,396.00,0.00,0.50,0.00,0.42,0.00,0.00,12.00,1200.00,725.61,140.81,1.00,12.00
C10088,1935.36,1.00,4915.60,4515.34,400.26,293.84,1.00,1.00,0.33,0.08,1.00,50.00,9000.00,4921.07,594.76,0.00,12.00
C10089,134.92,1.00,1247.80,1247.80,0.00,0.00,1.00,1.00,0.00,0.00,0.00,22.00,16500.00,1275.23,171.36,1.00,12.00
C10090,7069.95,1.00,1603.78,1445.14,158.64,5626.00,1.00,0.83,1.00,0.75,23.00,23.00,11000.00,4589.87,1876.26,0.00,12.00
C10092,8181.25,1.00,2258.01,1318.78,939.23,5251.23,1.00,0.75,1.00,0.75,21.00,60.00,13500.00,3021.58,2074.58,0.00,12.00
C10093,4037.31,1.00,45.00,45.00,0.00,104.24,0.08,0.08,0.00,0.08,1.00,1.00,4500.00,1073.84,968.94,0.00,12.00
C10094,6110.27,1.00,0.00,0.00,0.00,2717.25,0.00,0.00,0.00,0.42,14.00,0.00,6500.00,1502.21,2864.38,0.00,12.00
C10095,9381.26,1.00,5100.07,1147.83,3952.24,370.74,1.00,0.25,0.92,0.08,1.00,46.00,9000.00,6409.50,9827.05,0.00,12.00
C10096,1977.01,1.00,1032.04,226.90,805.14,4335.92,0.91,0.09,0.82,0.55,21.00,17.00,4000.00,3056.42,910.71,0.09,11.00
C10097,1321.48,1.00,45.65,45.65,0.00,495.66,0.08,0.08,0.00,0.08,1.00,1.00,1800.00,440.84,312.56,0.00,12.00
C10098,1307.72,1.00,405.60,405.60,0.00,0.00,0.17,0.17,0.00,0.00,0.00,2.00,2400.00,0.00,,0.00,12.00
C10099,2329.49,1.00,213.34,213.34,0.00,0.00,0.25,0.25,0.00,0.00,0.00,3.00,2400.00,0.00,,0.00,12.00
C10100,1139.78,1.00,0.00,0.00,0.00,120.61,0.00,0.00,0.00,0.08,1.00,0.00,1200.00,151.82,2906.11,0.00,12.00
C10101,1619.96,1.00,739.44,739.44,0.00,0.00,0.67,0.67,0.00,0.00,0.00,11.00,6000.00,417.13,389.14,0.00,12.00
C10102,3505.67,1.00,0.00,0.00,0.00,1713.98,0.00,0.00,0.00,0.50,6.00,0.00,4000.00,0.00,,0.00,12.00
C10103,4.71,0.36,79.00,0.00,79.00,0.00,0.25,0.00,0.17,0.00,0.00,3.00,7000.00,217.82,121.78,1.00,12.00
C10104,0.00,0.00,0.00,0.00,0.00,89.85,0.00,0.00,0.00,0.14,1.00,0.00,3000.00,138.02,,0.00,7.00
C10105,4.88,0.67,20.00,20.00,0.00,0.00,0.11,0.11,0.00,0.00,0.00,1.00,1500.00,26.49,60.91,0.00,9.00
C10106,23.39,0.27,1346.28,0.00,1346.28,0.00,1.00,0.00,1.00,0.00,0.00,12.00,2000.00,712.15,54.79,0.00,12.00
C10107,3539.80,1.00,2823.80,1540.41,1283.39,0.00,0.92,0.92,0.83,0.00,0.00,75.00,5700.00,9172.79,2103.80,0.08,12.00
C10108,0.62,0.09,389.96,0.00,389.96,0.00,1.00,0.00,1.00,0.00,0.00,31.00,4500.00,0.00,,0.00,12.00
C10109,862.07,1.00,0.00,0.00,0.00,920.31,0.00,0.00,0.00,0.08,1.00,0.00,4000.00,2236.89,214.83,0.08,12.00
C10110,2441.54,1.00,808.00,808.00,0.00,959.86,0.25,0.25,0.00,0.33,6.00,4.00,4000.00,532.74,1026.98,0.00,12.00
C10111,408.66,1.00,941.64,0.00,941.64,0.00,1.00,0.00,1.00,0.00,0.00,12.00,2500.00,1097.79,176.61,0.08,12.00
C10112,4986.40,1.00,0.00,0.00,0.00,5439.47,0.00,0.00,0.00,0.58,40.00,0.00,8000.00,1241.54,1439.23,0.00,12.00
C10113,1246.62,1.00,423.70,177.64,246.06,412.40,0.67,0.17,0.50,0.08,2.00,10.00,2000.00,577.05,498.37,0.00,12.00
C10114,6644.20,1.00,4478.75,2721.59,1757.16,7205.52,1.00,0.92,1.00,0.58,21.00,64.00,9000.00,10857.94,2469.57,0.08,12.00
C10115,156.22,0.82,1354.86,585.63,769.23,0.00,0.92,0.33,0.83,0.00,0.00,34.00,5500.00,858.98,108.32,0.00,12.00
C10116,3393.35,1.00,0.00,0.00,0.00,1008.35,0.00,0.00,0.00,0.08,2.00,0.00,4200.00,0.00,,0.00,12.00
C10117,5322.99,1.00,2812.20,857.12,1955.08,2510.35,1.00,0.25,1.00,0.33,8.00,81.00,8500.00,1509.42,1834.03,0.00,12.00
C10118,6458.56,1.00,0.00,0.00,0.00,3360.23,0.00,0.00,0.00,0.25,11.00,0.00,7000.00,1277.77,2760.12,0.00,12.00
C10119,175.34,0.82,1508.90,1252.36,256.54,0.00,0.67,0.42,0.33,0.00,0.00,14.00,5000.00,1884.23,136.64,1.00,12.00
C10120,680.20,1.00,1045.57,667.95,377.62,0.00,1.00,0.58,1.00,0.00,0.00,25.00,3000.00,552.43,207.72,0.00,12.00
C10121,223.76,0.64,2309.78,0.00,2309.78,0.00,0.58,0.00,0.50,0.00,0.00,12.00,6500.00,1206.81,99.37,0.33,12.00
C10122,1785.63,1.00,0.00,0.00,0.00,576.21,0.00,0.00,0.00,0.25,10.00,0.00,1800.00,687.69,2439.14,0.00,12.00
C10123,54.93,0.27,495.00,0.00,495.00,0.00,0.17,0.00,0.17,0.00,0.00,2.00,7000.00,1969.85,147.05,1.00,12.00
C10124,2662.63,1.00,0.00,0.00,0.00,509.02,0.00,0.00,0.00,0.33,4.00,0.00,3000.00,932.42,709.21,0.00,12.00
C10125,8504.88,1.00,6724.26,4100.08,2624.18,1686.60,1.00,0.92,1.00,0.50,10.00,85.00,17000.00,1888.76,2167.45,0.00,12.00
C10126,1464.32,1.00,1174.39,1174.39,0.00,0.00,0.25,0.25,0.00,0.00,0.00,8.00,9000.00,0.00,,0.00,12.00
C10127,2114.16,1.00,5580.85,0.00,5580.85,0.00,1.00,0.00,1.00,0.00,0.00,75.00,8500.00,3564.98,630.00,0.00,12.00
C10128,2876.40,1.00,0.00,0.00,0.00,998.85,0.00,0.00,0.00,0.17,2.00,0.00,3200.00,1065.43,1412.65,0.00,12.00
C10130,14224.12,1.00,0.00,0.00,0.00,4614.43,0.00,0.00,0.00,0.33,9.00,0.00,19000.00,3066.61,3406.26,0.00,12.00
C10131,2392.92,1.00,12462.44,12462.44,0.00,0.00,0.92,0.92,0.00,0.00,0.00,217.00,2800.00,11628.72,2000.99,0.00,12.00
C10132,57.45,0.75,0.00,0.00,0.00,272.71,0.00,0.00,0.00,0.13,1.00,0.00,1200.00,385.85,84.70,0.17,8.00
C10133,4245.86,1.00,1957.30,1077.30,880.00,0.00,0.83,0.17,0.58,0.00,0.00,19.00,5000.00,1004.35,1086.43,0.00,12.00
C10134,11167.23,1.00,150.64,150.64,0.00,8362.15,0.08,0.08,0.00,0.50,14.00,1.00,17000.00,2606.06,2894.08,0.00,12.00
C10135,69.41,0.09,0.00,0.00,0.00,2799.71,0.00,0.00,0.00,0.08,3.00,0.00,13000.00,0.00,,0.00,12.00
C10136,116.65,0.27,907.00,907.00,0.00,273.56,0.25,0.25,0.00,0.08,1.00,8.00,5000.00,0.00,,0.00,12.00
C10137,4637.85,1.00,1271.12,351.54,919.58,0.00,0.83,0.25,0.83,0.00,0.00,33.00,5000.00,1906.03,3572.28,0.00,12.00
C10138,24.28,0.64,250.60,0.00,250.60,0.00,0.58,0.00,0.50,0.00,0.00,7.00,3000.00,319.76,173.63,0.00,12.00
C10139,9354.06,1.00,796.33,796.33,0.00,13748.47,0.08,0.08,0.00,0.67,16.00,1.00,13000.00,10664.66,2600.88,0.08,12.00
C10140,231.11,1.00,440.00,0.00,440.00,0.00,0.92,0.00,0.92,0.00,0.00,22.00,4000.00,554.12,185.09,0.00,12.00
C10141,1562.63,1.00,1330.62,1169.63,160.99,0.00,0.50,0.17,0.25,0.00,0.00,8.00,2000.00,1020.78,709.61,0.00,12.00
C10142,2494.87,1.00,5491.79,1390.50,4101.29,0.00,1.00,0.50,1.00,0.00,0.00,52.00,17000.00,1015.31,615.92,0.00,12.00
C10143,706.13,1.00,897.86,714.52,183.34,586.27,0.92,0.33,0.92,0.25,3.00,18.00,1200.00,972.36,184.52,0.00,12.00
C10144,19043.14,1.00,22009.92,9449.07,12560.85,0.00,1.00,0.75,1.00,0.00,0.00,216.00,18000.00,23018.58,18621.01,0.00,12.00
C10145,2235.10,1.00,720.60,720.60,0.00,723.31,1.00,1.00,0.00,0.08,1.00,12.00,2500.00,1061.29,689.12,0.00,12.00
C10146,947.13,1.00,197.06,148.66,48.40,0.00,0.33,0.25,0.17,0.00,0.00,5.00,1000.00,492.20,509.38,0.00,12.00
C10147,764.04,0.82,0.00,0.00,0.00,1307.10,0.00,0.00,0.00,0.17,3.00,0.00,7500.00,1566.81,172.96,0.00,12.00
C10148,5347.81,1.00,0.00,0.00,0.00,4002.35,0.00,0.00,0.00,0.50,9.00,0.00,7000.00,0.00,,0.00,12.00
C10149,10598.47,1.00,2084.48,1300.48,784.00,0.00,0.67,0.42,0.58,0.00,0.00,13.00,21500.00,3219.62,3068.13,0.00,12.00
C10150,2163.68,1.00,5779.36,3436.53,2342.83,0.00,1.00,1.00,1.00,0.00,0.00,97.00,6500.00,4416.41,546.44,0.00,12.00
C10151,3057.40,1.00,1025.00,1025.00,0.00,0.00,0.08,0.08,0.00,0.00,0.00,2.00,7500.00,698.85,819.68,0.00,12.00
C10152,19.35,0.91,689.70,0.00,689.70,0.00,0.83,0.00,0.83,0.00,0.00,10.00,10000.00,746.69,,0.00,12.00
C10153,264.81,1.00,28.65,28.65,0.00,384.26,0.08,0.08,0.00,0.08,1.00,1.00,9000.00,1235.63,194.32,0.08,12.00
C10154,1108.22,0.91,944.96,164.96,780.00,0.00,0.50,0.25,0.42,0.00,0.00,9.00,1500.00,1955.20,992.65,0.00,12.00
C10155,906.57,1.00,1039.20,80.00,959.20,103.10,0.83,0.08,0.83,0.08,1.00,11.00,13500.00,1855.24,468.20,0.08,12.00
C10156,7679.63,1.00,4059.93,0.00,4059.93,555.47,0.58,0.00,0.50,0.17,7.00,14.00,7000.00,3685.61,12854.94,0.00,12.00
C10157,1523.91,1.00,4075.37,3322.28,753.09,0.00,1.00,1.00,1.00,0.00,0.00,31.00,6500.00,2254.26,329.30,0.00,12.00
C10158,49.21,1.00,870.24,0.00,870.24,0.00,1.00,0.00,1.00,0.00,0.00,24.00,8000.00,835.84,193.01,1.00,12.00
C10159,13673.08,1.00,9792.23,3959.81,5832.42,2444.45,1.00,0.75,1.00,0.75,26.00,216.00,20000.00,11717.31,6042.39,0.00,12.00
C10160,106.46,0.64,2463.12,789.53,1673.59,0.00,1.00,0.50,1.00,0.00,0.00,46.00,4000.00,2573.72,95.34,0.64,12.00
C10161,119.76,0.36,1859.34,0.00,1859.34,0.00,0.33,0.00,0.25,0.00,0.00,4.00,20000.00,3104.28,288.90,0.25,12.00
C10162,5837.11,1.00,3488.49,3262.25,226.24,3303.15,1.00,1.00,0.50,0.75,15.00,46.00,7900.00,0.00,,0.00,12.00
C10163,1734.51,1.00,0.00,0.00,0.00,66.28,0.00,0.00,0.00,0.17,2.00,0.00,1800.00,363.47,2828.00,0.00,12.00
C10164,2765.75,1.00,7283.31,5087.31,2196.00,0.00,1.00,1.00,0.67,0.00,0.00,77.00,11000.00,14373.39,1058.13,0.25,12.00
C10165,1046.37,1.00,295.00,295.00,0.00,93.58,0.08,0.08,0.00,0.08,1.00,2.00,1200.00,439.41,362.84,0.00,12.00
C10166,2737.37,1.00,0.00,0.00,0.00,429.69,0.00,0.00,0.00,0.42,5.00,0.00,3000.00,778.83,721.80,0.00,12.00
C10167,4014.82,1.00,0.00,0.00,0.00,988.36,0.00,0.00,0.00,0.08,1.00,0.00,8500.00,1009.19,1177.15,0.00,12.00
C10168,871.57,1.00,648.22,115.00,533.22,0.00,1.00,0.08,1.00,0.00,0.00,27.00,1200.00,1110.89,208.30,0.00,12.00
C10169,1610.04,1.00,557.19,525.64,31.55,0.00,0.25,0.08,0.17,0.00,0.00,5.00,4000.00,422.71,616.01,0.00,12.00
C10170,114.59,1.00,469.98,0.00,469.98,0.00,1.00,0.00,0.83,0.00,0.00,6.00,1000.00,367.11,86.10,0.50,6.00
C10171,5800.59,1.00,0.00,0.00,0.00,369.95,0.00,0.00,0.00,0.08,1.00,0.00,6500.00,1346.37,1972.53,0.00,12.00
C10172,823.10,0.36,131.64,0.00,131.64,0.00,1.00,0.00,1.00,0.00,0.00,12.00,8000.00,2916.07,243.20,0.00,12.00
C10173,595.68,1.00,5078.14,4330.53,747.61,1424.44,0.92,0.67,0.75,0.08,1.00,42.00,15000.00,4756.65,241.89,0.92,12.00
C10174,1128.12,1.00,924.60,0.00,924.60,0.00,1.00,0.00,1.00,0.00,0.00,12.00,1000.00,1202.71,1747.04,0.00,12.00
C10175,349.44,1.00,1975.40,1393.50,581.90,0.00,0.67,0.42,0.33,0.00,0.00,17.00,4000.00,1795.01,167.22,0.00,12.00
C10176,840.80,0.67,0.00,0.00,0.00,3671.78,0.00,0.00,0.00,0.22,5.00,0.00,4000.00,3621.27,193.17,0.00,9.00
C10177,975.94,1.00,10221.35,7141.38,3079.97,1620.69,1.00,1.00,0.83,0.58,18.00,130.00,10500.00,10693.50,347.64,0.75,12.00
C10178,23.11,0.36,300.00,0.00,300.00,0.00,0.25,0.00,0.17,0.00,0.00,3.00,12500.00,291.95,43.45,0.18,12.00
C10179,2187.73,0.86,0.00,0.00,0.00,3905.33,0.00,0.00,0.00,0.29,9.00,0.00,3000.00,1423.79,461.37,0.20,7.00
C10180,11972.01,1.00,5715.00,4685.54,1029.46,1626.35,1.00,1.00,1.00,0.17,3.00,90.00,14000.00,4639.51,3192.31,0.00,12.00
C10181,1608.45,1.00,0.00,0.00,0.00,205.74,0.00,0.00,0.00,0.17,2.00,0.00,1800.00,470.57,408.80,0.00,12.00
C10182,1872.93,1.00,766.61,766.61,0.00,1017.12,0.83,0.83,0.00,0.25,5.00,12.00,2300.00,0.00,,0.00,12.00
C10183,2933.24,1.00,0.00,0.00,0.00,2040.43,0.00,0.00,0.00,0.58,13.00,0.00,3000.00,2431.58,1739.75,0.00,12.00
C10184,336.80,1.00,3535.80,1614.70,1921.10,0.00,1.00,0.42,0.92,0.00,0.00,44.00,20000.00,2814.23,186.23,1.00,12.00
